n	cost	search-status	sequence
3807	6	upper-bound	[<< 4, -1, << 3, -1, << 5, -1]
3808	5	upper-bound	[<< 4, -1, << 3, -1, << 5]
3809	6	upper-bound	[<< 4, -1, << 3, -1, << 5, +1]
3810	7	upper-bound	[<< 4, -1, << 3, -1, << 4, +1, << 1]
3811	8	upper-bound	[<< 4, -1, << 3, -1, << 4, +1, << 1, +1]
3812	7	upper-bound	[<< 4, -1, << 3, -1, << 3, +1, << 2]
3813	8	upper-bound	[<< 4, -1, << 3, -1, << 3, +1, << 2, +1]
3814	9	upper-bound	[<< 4, -1, << 3, -1, << 3, +1, << 1, +1, << 1]
3815	8	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 3, -1]
3816	7	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 3]
3817	8	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 3, +1]
3818	9	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 2, +1, << 1]
3819	10	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 2, +1, << 1, +1]
3820	9	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 1, +1, << 2]
3821	10	upper-bound	[<< 4, -1, << 3, -1, << 2, +1, << 1, +1, << 2, +1]
3822	7	upper-bound	[<< 4, -1, << 4, -1, << 3, -1, << 1]
3823	6	upper-bound	[<< 4, -1, << 4, -1, << 4, -1]
3824	5	upper-bound	[<< 4, -1, << 4, -1, << 4]
3825	6	upper-bound	[<< 4, -1, << 4, -1, << 4, +1]
3826	7	upper-bound	[<< 4, -1, << 4, -1, << 3, +1, << 1]
3827	8	upper-bound	[<< 4, -1, << 4, -1, << 3, +1, << 1, +1]
3828	7	upper-bound	[<< 4, -1, << 4, -1, << 2, +1, << 2]
3829	8	upper-bound	[<< 4, -1, << 4, -1, << 2, +1, << 2, +1]
3830	9	upper-bound	[<< 4, -1, << 4, -1, << 2, +1, << 1, +1, << 1]
3831	6	upper-bound	[<< 4, -1, << 5, -1, << 3, -1]
3832	5	upper-bound	[<< 4, -1, << 5, -1, << 3]
3833	6	upper-bound	[<< 4, -1, << 5, -1, << 3, +1]
3834	7	upper-bound	[<< 4, -1, << 5, -1, << 2, +1, << 1]
3835	8	upper-bound	[<< 4, -1, << 5, -1, << 2, +1, << 1, +1]
3836	5	upper-bound	[<< 4, -1, << 6, -1, << 2]
3837	6	upper-bound	[<< 4, -1, << 6, -1, << 2, +1]
3838	5	upper-bound	[<< 4, -1, << 7, -1, << 1]
3839	4	upper-bound	[<< 4, -1, << 8, -1]
3840	3	upper-bound	[<< 4, -1, << 8]
3841	4	upper-bound	[<< 4, -1, << 8, +1]
3842	5	upper-bound	[<< 4, -1, << 7, +1, << 1]
3843	6	upper-bound	[<< 4, -1, << 7, +1, << 1, +1]
3844	5	upper-bound	[<< 4, -1, << 6, +1, << 2]
3845	6	upper-bound	[<< 4, -1, << 6, +1, << 2, +1]
3846	7	upper-bound	[<< 4, -1, << 6, +1, << 1, +1, << 1]
3847	6	upper-bound	[<< 4, -1, << 5, +1, << 3, -1]
3848	5	upper-bound	[<< 4, -1, << 5, +1, << 3]
3849	6	upper-bound	[<< 4, -1, << 5, +1, << 3, +1]
3850	7	upper-bound	[<< 4, -1, << 5, +1, << 2, +1, << 1]
3851	8	upper-bound	[<< 4, -1, << 5, +1, << 2, +1, << 1, +1]
3852	7	upper-bound	[<< 4, -1, << 5, +1, << 1, +1, << 2]
3853	8	upper-bound	[<< 4, -1, << 5, +1, << 1, +1, << 2, +1]
3854	7	upper-bound	[<< 4, -1, << 4, +1, << 3, -1, << 1]
3855	6	upper-bound	[<< 4, -1, << 4, +1, << 4, -1]
3856	5	upper-bound	[<< 4, -1, << 4, +1, << 4]
3857	6	upper-bound	[<< 4, -1, << 4, +1, << 4, +1]
3858	7	upper-bound	[<< 4, -1, << 4, +1, << 3, +1, << 1]
3859	8	upper-bound	[<< 4, -1, << 4, +1, << 3, +1, << 1, +1]
3860	7	upper-bound	[<< 4, -1, << 4, +1, << 2, +1, << 2]
3861	8	upper-bound	[<< 4, -1, << 4, +1, << 2, +1, << 2, +1]
3862	9	upper-bound	[<< 4, -1, << 4, +1, << 2, +1, << 1, +1, << 1]
3863	8	upper-bound	[<< 4, -1, << 4, +1, << 1, +1, << 3, -1]
3864	7	upper-bound	[<< 4, -1, << 4, +1, << 1, +1, << 3]
3865	8	upper-bound	[<< 4, -1, << 4, +1, << 1, +1, << 3, +1]
3866	9	upper-bound	[<< 4, -1, << 4, +1, << 1, +1, << 2, +1, << 1]
3867	10	upper-bound	[<< 4, -1, << 4, +1, << 1, +1, << 2, +1, << 1, +1]
3868	7	upper-bound	[<< 4, -1, << 3, +1, << 3, -1, << 2]
3869	8	upper-bound	[<< 4, -1, << 3, +1, << 3, -1, << 2, +1]
3870	7	upper-bound	[<< 4, -1, << 3, +1, << 4, -1, << 1]
3871	6	upper-bound	[<< 4, -1, << 3, +1, << 5, -1]
3872	5	upper-bound	[<< 4, -1, << 3, +1, << 5]
3873	6	upper-bound	[<< 4, -1, << 3, +1, << 5, +1]
3874	7	upper-bound	[<< 4, -1, << 3, +1, << 4, +1, << 1]
3875	8	upper-bound	[<< 4, -1, << 3, +1, << 4, +1, << 1, +1]
3876	7	upper-bound	[<< 4, -1, << 3, +1, << 3, +1, << 2]
3877	8	upper-bound	[<< 4, -1, << 3, +1, << 3, +1, << 2, +1]
3878	9	upper-bound	[<< 4, -1, << 3, +1, << 3, +1, << 1, +1, << 1]
3879	8	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 3, -1]
3880	7	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 3]
3881	8	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 3, +1]
3882	9	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 2, +1, << 1]
3883	10	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 2, +1, << 1, +1]
3884	9	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 1, +1, << 2]
3885	10	upper-bound	[<< 4, -1, << 3, +1, << 2, +1, << 1, +1, << 2, +1]
3886	9	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 3, -1, << 1]
3887	8	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 4, -1]
3888	7	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 4]
3889	8	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 4, +1]
3890	9	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 3, +1, << 1]
3891	10	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 3, +1, << 1, +1]
3892	9	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 2, +1, << 2]
3893	10	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 2, +1, << 2, +1]
3894	11	upper-bound	[<< 4, -1, << 3, +1, << 1, +1, << 2, +1, << 1, +1, << 1]
3895	8	upper-bound	[<< 4, -1, << 2, +1, << 3, -1, << 3, -1]
3896	7	upper-bound	[<< 4, -1, << 2, +1, << 3, -1, << 3]
3897	8	upper-bound	[<< 4, -1, << 2, +1, << 3, -1, << 3, +1]
3898	9	upper-bound	[<< 4, -1, << 2, +1, << 3, -1, << 2, +1, << 1]
